# k                                 a                                 b                                 c
 79    0.9936723131594125124621541545   -0.2246360083372416771574364702   -1.9873446263188250249243083090
 80    0.9896777947047055157270278869   -0.2866207436207698910912711199   -1.9793555894094110314540557738
 81    0.9847168726785714421012585262   -0.3483255986121845948488839895   -1.9694337453571428842025170525
 82    0.9787943913371806026191279670   -0.4096903195677348841208242902   -1.9575887826743612052382559341
 83    0.9719161338830567542501626122   -0.4706549848787837664332300847   -1.9438322677661135085003252243
 84    0.9640888168178780581740738853   -0.5311600635842419482202103609   -1.9281776336357561163481477706
 85    0.9553200833839268213409923192   -0.5911464735015413696217478901   -1.9106401667678536426819846383
 86    0.9456184961005935640798725217   -0.6505556389193832833583996944   -1.8912369922011871281597450434
 87    0.9349935284032218074656839235   -0.7093295477959271622125925205   -1.8699870568064436149313678470
 88    0.9234555553924596038584127200   -0.7674108084065641710580507606   -1.8469111107849192077168254400
 89    0.9110158437031491418522932690   -0.8247427053859628376386581294   -1.8220316874062982837045865381
 90    0.8976865405026500654983578897   -0.8812692551096608095662077176   -1.7953730810053001309967157795
 91    0.8834806616293354730728992763   -0.9369352603611237340075490465   -1.7669613232586709461457985526
 92    0.8684120788828476600329508983   -0.9916863642308910709033398234   -1.7368241577656953200659017966
 93    0.8524955064785204594812739742   -1.0454691031951748314554606623   -1.7049910129570409189625479485
 94    0.8357464866791983748584016212   -1.0982309593220844767813559884   -1.6714929733583967497168032423
 95    0.8181813746184798397109716461   -1.1499204115544949811322794631   -1.6363627492369596794219432923
 96    0.7998173223302074141827233689   -1.2004869860194855579749173558   -1.5996346446604148283654467377
 97    0.7806722619997976675421114123   -1.2498813053152195706729798985   -1.5613445239995953350842228247
 98    0.7607648884537663303007093418   -1.2980551367271400131642167253   -1.5215297769075326606014186837
 99    0.7401146409045474827692601139   -1.3449614393263960021585035065   -1.4802292818090949655385202277
100    0.7187416839684327429793597730   -1.3905544099045124006863716204   -1.4374833679368654859587195460
101    0.6966668879751651832776815354   -1.4347895276994444557772112603   -1.3933337759503303665553630708
102    0.6739118085884169273569455072   -1.4776235978693477157719371462   -1.3478236171768338547138910144
103    0.6504986657570492880608981068   -1.5190147936716069665408213041   -1.3009973315140985761217962136
104    0.6264503220177096709520014883   -1.5589226973059411296418375059   -1.2529006440354193419040029767
105    0.6017902601699526288214769920   -1.5973083393816995823044635472   -1.2035805203399052576429539840
106    0.5765425603456845182748224943   -1.6341342369708098392067086024   -1.1530851206913690365496449886
107    0.5507318764953232914649561280   -1.6693644302092218723032601702   -1.1014637529906465829299122561
108    0.5243834123136345004567715478   -1.7029645174111043282039190672   -1.0487668246272690009135430955
109    0.4975228966287509324573079539   -1.7349016886615069577004533130   -0.9950457932575018649146159078
110    0.4701765582784087071921419465   -1.7651447578546866079562960294   -0.9403531165568174143842838930
111    0.4423711004979320460250846736   -1.7936641931468091382129159683   -0.8847422009958640920501693472
112    0.4141336748449773730307299502   -1.8204321457932943761903743507   -0.8282673496899547460614599004
113    0.3854918546864979922439431448   -1.8454224773426424199840312212   -0.7709837093729959844878862896
114    0.3564736082738191313978859398   -1.8686107851601883034220463742   -0.7129472165476382627957718796
115    0.3271072714321152652416913043   -1.8899744262568596298024203861   -0.6542145428642305304833826085
116    0.2974215198909575530450410952   -1.9094925393996728946177654507   -0.5948430397819151060900821903
117    0.2674453412829506104841925662   -1.9271460654823713287697728447   -0.5348906825659012209683851324
118    0.2372080068378012718266489856   -1.9429177661363206119915503223   -0.4744160136756025436532979711
119    0.2067390427994593993243910290   -1.9567922405634823324049875737   -0.4134780855989187986487820581
120    0.1760682015942417744103209998   -1.9687559405750316710026481815   -0.3521364031884835488206419996
121    0.1452254327780927722901793686   -1.9787971838209348351966809787   -0.2904508655561855445803587372
122    0.1142408537913511823447265670   -1.9869061651975647997403484624   -0.2284817075827023646894531339
123    0.0831447205495807750708081585   -1.9930749664222187078621573164   -0.1662894410991615501416163170
124    0.0519673978991822965722846561   -1.9972975637651873004330127515   -0.1039347957983645931445693122
125    0.0207393299666361746735887550   -1.9995698339318235259298717210   -0.0414786599332723493471775100
126   -0.0105089895696702795291344046   -1.9998895580888707002031878801    0.0210179791393405590582688092
127   -0.0417470472560023675434592860   -1.9982564240311153636042718063    0.0834940945120047350869185721
